Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-28,548.0,552.71,546.75,552.17,815500,0.0,0.0
2021-06-29,555.24,561.89,552.53,558.59,1048800,0.0,0.0
2021-06-30,556.89,557.96,547.61,549.55,842300,0.0,0.0
2021-07-01,545.0,550.13,539.75,545.17,1165800,0.0,0.0
2021-07-02,548.25,554.74,547.2,551.83,681100,0.0,0.0
2021-07-06,554.29,563.79,552.19,558.49,795000,0.0,0.0
2021-07-07,560.9,563.26,553.07,561.78,1093500,0.0,0.0
2021-07-08,552.75,562.29,546.95,560.47,942000,0.0,0.0
2021-07-09,559.72,567.33,555.87,566.37,976600,0.0,0.0
2021-07-12,570.0,573.67,561.25,561.93,1279200,0.0,0.0
2021-07-13,561.0,566.35,555.0,559.33,868400,0.0,0.0
2021-07-14,563.96,567.3,558.78,562.94,1133400,0.0,0.0
2021-07-15,563.38,566.72,554.55,558.28,823600,0.0,0.0
2021-07-16,561.52,564.63,554.96,556.36,941000,0.0,0.0
2021-07-19,551.74,555.39,545.0,555.09,1108000,0.0,0.0
2021-07-20,560.0,569.16,554.61,565.25,870600,0.0,0.0
2021-07-21,562.49,567.13,558.54,567.13,754200,0.0,0.0
2021-07-22,572.08,579.4,570.45,576.7,938500,0.0,0.0
2021-07-23,580.0,588.48,577.82,586.18,890900,0.0,0.0
2021-07-26,584.8,584.85,575.01,584.2,1044200,0.0,0.0
2021-07-27,584.0,586.87,574.67,582.29,1462400,0.0,0.0
2021-07-28,582.0,587.0,576.01,583.35,1229200,0.0,0.0
2021-07-29,584.6,608.78,584.6,586.43,2539600,0.0,0.0
2021-07-30,579.71,595.89,575.94,587.89,1566000,0.0,0.0
2021-08-02,587.89,591.72,579.01,584.67,901100,0.0,0.0
2021-08-03,584.89,590.81,577.34,584.66,804600,0.0,0.0
2021-08-04,585.0,594.69,583.17,593.47,769700,0.0,0.0
2021-08-05,595.0,597.0,589.38,595.5,476100,0.0,0.0
2021-08-06,594.0,595.6,589.43,590.68,709200,0.0,0.0
2021-08-09,589.95,592.3,585.3,587.96,800900,0.0,0.0
2021-08-10,588.0,589.44,572.78,575.8,829500,0.0,0.0
2021-08-11,578.44,581.14,566.59,570.2,908200,0.0,0.0
2021-08-12,569.27,581.99,566.99,581.57,866300,0.0,0.0
2021-08-13,579.04,587.98,577.54,587.83,638800,0.0,0.0
2021-08-16,586.0,591.68,576.32,580.22,812900,0.0,0.0
2021-08-17,579.45,584.1,574.38,582.24,709800,0.0,0.0
2021-08-18,580.47,588.6,578.48,581.95,741800,0.0,0.0
2021-08-19,579.5,591.3,577.75,586.92,768000,0.0,0.0
2021-08-20,591.05,601.41,588.57,600.52,1003500,0.0,0.0
2021-08-23,602.0,621.0,602.0,619.43,1576600,0.0,0.0
2021-08-24,620.0,626.53,620.0,621.85,1016100,0.0,0.0
2021-08-25,623.0,627.77,616.66,621.07,909500,0.0,0.0
2021-08-26,622.62,630.23,621.1,624.03,1096300,0.0,0.0
2021-08-27,625.0,635.62,624.04,632.4,821200,0.0,0.0
2021-08-30,634.0,643.28,633.49,641.65,797500,0.0,0.0
2021-08-31,645.0,647.7,639.56,643.64,1246600,0.0,0.0
2021-09-01,643.6,652.56,642.5,650.85,936700,0.0,0.0
2021-09-02,654.0,661.78,652.39,660.31,1354000,0.0,0.0
2021-09-03,660.0,681.1,659.05,678.63,1145900,0.0,0.0
2021-09-07,678.63,679.0,660.21,661.09,1515800,0.0,0.0
2021-09-08,660.31,660.31,650.63,653.8,1113000,0.0,0.0
2021-09-09,655.78,656.37,649.0,650.19,802300,0.0,0.0
2021-09-10,653.11,655.76,646.74,647.98,754300,0.0,0.0
2021-09-13,649.0,649.08,630.67,639.08,1262200,0.0,0.0
2021-09-14,641.99,648.54,640.59,645.42,749400,0.0,0.0
2021-09-15,644.09,654.12,637.67,652.15,803200,0.0,0.0
2021-09-16,650.3,657.12,644.68,656.35,622300,0.0,0.0
2021-09-17,653.39,657.46,648.26,651.03,1298100,0.0,0.0
2021-09-20,644.36,650.58,640.12,648.73,957800,0.0,0.0
2021-09-21,650.0,657.18,645.63,654.2,755200,0.0,0.0
2021-09-22,658.0,665.5,650.68,662.65,816100,0.0,0.0
2021-09-23,668.0,670.49,663.01,664.22,871500,0.0,0.0
2021-09-24,662.1,667.0,655.0,666.31,499800,0.0,0.0
2021-09-27,659.88,660.0,646.21,649.56,902500,0.0,0.0
2021-09-28,633.67,636.84,610.0,612.52,1988800,0.0,0.0
2021-09-29,620.0,623.84,607.18,618.02,1228600,0.0,0.0
2021-09-30,620.2,626.99,618.24,622.27,948400,0.0,0.0
2021-10-01,623.78,635.41,614.33,632.8,1048900,0.0,0.0
2021-10-04,635.4,638.05,609.47,617.97,1173700,0.0,0.0
2021-10-05,622.47,639.54,622.0,633.42,1066200,0.0,0.0
2021-10-06,627.34,635.76,621.4,629.36,1038300,0.0,0.0
2021-10-07,636.43,648.36,635.43,637.92,1021400,0.0,0.0
2021-10-08,640.0,643.66,616.92,617.58,1715600,0.0,0.0
2021-10-11,618.02,627.31,612.14,615.85,915100,0.0,0.0
2021-10-12,622.36,633.0,620.24,629.13,796000,0.0,0.0
2021-10-13,630.0,641.08,630.0,639.41,1110800,0.0,0.0
2021-10-14,650.0,662.76,648.6,653.03,1326000,0.0,0.0
2021-10-15,656.86,665.61,654.9,663.18,919300,0.0,0.0
